age,female,black,white,born_usa,single,salary,degree,major,slf_emp,discrimination,happy,life
,0,0,1,yes,yes,189211.0,high school,,someone else,0,pretty happy,routine
,0,0,1,yes,,1452.0,graduate,education,someone else,0,pretty happy,
40.0,1,1,0,yes,yes,23595.0,high school,,someone else,0,pretty happy,routine
71.0,1,1,0,yes,yes,,bachelor,accounting/bookkeeping,someone else,0,pretty happy,routine
29.0,1,1,0,no,,27225.0,bachelor,health,someone else,0,pretty happy,
74.0,1,0,1,yes,yes,,bachelor,history,someone else,0,very happy,exciting
65.0,1,1,0,no,no,19965.0,bachelor,social work,someone else,1,very happy,exciting
41.0,1,1,0,no,no,23595.0,high school,,self-employed,0,pretty happy,exciting
38.0,0,0,1,yes,yes,49005.0,graduate,sociology,someone else,0,pretty happy,routine
49.0,0,0,1,yes,,72600.0,high school,,someone else,1,pretty happy,
25.0,0,0,1,no,no,23595.0,bachelor,engineering,someone else,0,very happy,routine
26.0,1,1,0,no,yes,13612.0,high school,,someone else,0,not too happy,exciting
59.0,0,0,1,yes,no,59895.0,lt high school,,self-employed,1,pretty happy,exciting
45.0,1,0,1,yes,no,59895.0,junior college,nursing,someone else,0,pretty happy,routine
34.0,0,1,0,yes,,27225.0,high school,,someone else,0,pretty happy,
66.0,1,0,1,yes,yes,,high school,,someone else,0,very happy,exciting
59.0,1,0,0,no,,72600.0,graduate,english,someone else,0,very happy,
68.0,0,0,1,yes,,,graduate,political science/international relations,someone else,0,pretty happy,
37.0,0,0,1,yes,no,27225.0,bachelor,biology,someone else,0,pretty happy,exciting
37.0,0,0,1,yes,,101640.0,high school,,self-employed,0,pretty happy,
25.0,0,1,0,yes,no,32670.0,high school,,someone else,0,pretty happy,exciting
21.0,0,0,1,yes,,23595.0,high school,,someone else,0,pretty happy,
53.0,1,0,1,yes,yes,72600.0,graduate,nursing,self-employed,0,very happy,exciting
53.0,1,0,1,yes,,363.0,bachelor,business administration,someone else,0,pretty happy,exciting
26.0,1,0,0,yes,no,23595.0,lt high school,,someone else,1,pretty happy,exciting
25.0,1,0,0,no,no,,high school,,someone else,1,not too happy,dull
44.0,0,0,0,no,no,49005.0,lt high school,,someone else,0,very happy,exciting
29.0,0,0,1,yes,yes,32670.0,high school,,someone else,0,pretty happy,exciting
48.0,1,1,0,yes,,,lt high school,,someone else,0,very happy,
29.0,1,0,1,yes,yes,59895.0,bachelor,finance,someone else,1,very happy,exciting
48.0,0,0,1,yes,,,graduate,other,someone else,0,pretty happy,
