humancause,age,male,white,educ,income,party
1,55,0,0,14,19,7
1,36,1,0,11,11,7
0,25,1,1,14,7,1
1,40,0,0,14,16,6
1,82,0,1,11,9,5
0,21,0,1,12,8,1
0,25,1,0,12,9,5
0,66,1,1,12,15,3
1,70,1,0,13,19,5
0,57,0,1,11,15,3
0,53,0,1,12,18,2
1,23,0,1,14,19,7
0,65,0,0,15,20,3
0,39,1,1,11,18,1
1,83,1,1,12,15,3
0,37,1,1,14,18,3
0,59,0,1,11,17,3
1,46,0,1,11,16,2
1,71,1,1,12,12,5
0,44,0,1,15,14,1
0,21,1,1,12,20,5
0,30,1,0,8,19,5
0,87,0,1,14,13,1
0,52,0,1,11,14,1
1,18,0,1,11,18,5
1,82,1,1,14,18,2
0,71,1,1,11,13,4
1,30,1,1,14,14,6
1,21,0,1,12,4,3
1,72,1,1,12,15,7
0,52,1,1,12,6,5
1,78,1,0,12,12,7
1,67,1,1,16,18,7
1,67,1,1,12,12,6
0,55,0,1,12,12,3
0,36,0,1,14,21,2
1,56,1,1,14,20,2
0,58,0,1,11,5,1
1,56,1,0,11,5,7
0,70,1,1,11,13,1
1,29,1,1,8,10,6
1,55,1,1,14,14,6
0,81,1,0,12,9,3
0,27,1,1,12,17,1
0,78,1,1,15,15,1
0,74,1,1,11,10,7
1,23,0,1,14,13,5
0,72,1,1,13,18,3
0,49,0,0,15,19,7
0,78,1,1,12,12,2
0,39,0,1,15,11,4
1,57,1,1,8,17,2
0,75,0,1,11,12,6
0,50,0,1,9,12,7
1,72,0,0,15,18,5
1,58,1,1,9,8,7
0,74,1,1,11,15,1
1,55,0,1,15,16,3
1,25,1,0,12,12,3
0,57,0,1,11,12,2
1,46,0,1,14,21,7
1,27,1,0,13,13,7
0,78,1,1,12,15,2
0,52,0,1,11,13,3
0,62,1,1,14,13,1
0,70,1,1,12,16,1
0,55,0,1,12,12,7
1,54,0,1,14,19,5
0,39,1,1,14,16,2
0,29,0,1,14,15,3
0,40,1,1,12,11,5
0,81,1,1,16,18,1
1,36,0,1,11,13,7
1,36,1,1,11,17,3
0,48,0,1,11,20,7
0,32,1,1,11,10,7
0,34,0,1,13,17,6
1,81,1,0,12,14,7
0,63,1,1,11,14,2
1,35,0,1,14,15,6
1,73,1,0,16,19,5
1,58,1,1,11,5,4
0,25,0,1,15,20,5
0,61,1,1,13,11,3
0,53,0,1,15,16,7
0,52,1,1,16,19,1
0,68,0,1,11,7,5
0,27,1,1,11,16,2
1,62,0,1,14,21,7
0,46,0,0,7,14,3
1,57,0,1,13,18,7
1,58,0,1,15,19,7
0,72,0,1,11,12,2
1,65,0,1,15,14,7
1,67,0,1,14,9,7
0,73,1,1,13,17,7
0,54,0,0,10,15,1
0,70,1,0,12,7,6
1,35,1,1,12,13,5
1,29,1,1,12,9,3
0,59,1,1,16,15,3
1,31,0,0,11,14,2
0,54,0,1,11,10,4
